GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC46,HC01_EST_VC47,HC01_EST_VC48,HC01_EST_VC49,HC01_EST_VC50,HC01_EST_VC51,HC01_EST_VC52,HC01_EST_VC53,HC01_EST_VC54,HC01_EST_VC55,,
Id,Id2,Geography,less than 10,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 44,45 to 59,60 or more,mean minutes,,
0400000US01,1,Alabama,11.7,14.5,17.5,16.2,6.8,15.1,5.4,7.1,5.7,24.3,,43.7
0400000US02,2,Alaska,27.4,19.8,18.6,13.9,3.2,7,2.1,3.5,4.5,18.3,,65.8
0400000US04,4,Arizona,12.7,13.7,15.8,15.5,7.1,15.1,7.1,7.7,5.6,24.5,,42.2
0400000US05,5,Arkansas,18.5,17.4,17.2,14.8,5.7,11.1,4.8,5.3,5.3,21.7,,53.1
0400000US06,6,California,10.2,12.9,15.1,14.4,6,15,6.8,8.5,11.1,28.1,,38.2
0400000US08,8,Colorado,12.9,14.2,15.3,15,6.6,14.1,7.1,7.6,7.1,25.1,,42.4
0400000US09,9,Connecticut,12.7,15.2,16,15.8,6.6,12.4,6.3,6.5,8.5,25.4,,43.9
0400000US10,10,Delaware,11.2,16.1,17.3,16.6,6.3,13.2,5.3,6.6,7.3,24.6,,44.6
0400000US11,11,District of Columbia,5.9,7.3,12.1,16.1,7.9,21,11.2,10.7,7.8,29.3,,25.3
0400000US12,12,Florida,9.4,12.3,15.6,16.5,6.8,16.5,7.3,8.4,7.2,26.4,,37.3
0400000US13,13,Georgia,10.1,13.3,15.6,14.4,6.1,13.9,7,9.7,9.8,27.6,,39
0400000US15,15,Hawaii,11.2,12.8,13.3,13.8,4.9,17.1,6.5,9.7,10.5,27.9,,37.3
0400000US16,16,Idaho,21.6,17.1,17.1,14.4,5.6,10.9,4.4,4.4,4.4,20.3,,55.8
0400000US17,17,Illinois,12.1,12.2,13,13,5.9,13.9,8,10.4,11.6,28.6,,37.3
0400000US18,18,Indiana,15.6,15.6,16.7,14.6,6.7,12.1,6.6,6.5,5.7,23.3,,47.9
0400000US19,19,Iowa,25.4,17.8,17.5,13.5,5.6,8.8,4.3,3.9,3.3,18.8,,60.7
0400000US20,20,Kansas,22.2,18.1,17.4,14.9,6.3,9.8,4.2,4,3.1,19.2,,57.7
0400000US21,21,Kentucky,15.6,15.2,17.4,15.3,6.6,12.4,5.9,6.1,5.5,22.9,,48.2
0400000US22,22,Louisiana,14.2,15.2,16.2,15.6,5.4,14.1,4.8,6.4,8.1,25.4,,45.6
0400000US23,23,Maine,17.4,15.2,16.2,14.4,6.3,10.8,6.5,7.1,6.2,23.6,,48.8
0400000US24,24,Maryland,7.4,9.7,12.2,13.1,6.1,15.1,9.4,11.8,15.1,32.3,,29.3
0400000US25,25,Massachusetts,11.1,12.3,13.7,13.1,5.9,13.8,7.9,10.4,11.8,28.8,,37.1
0400000US26,26,Michigan,14.3,14.4,16.1,15.4,7,12.1,7.1,7.3,6.3,24.3,,44.8
0400000US27,27,Minnesota,15.9,14.8,15.7,14.7,7.2,12.5,6.8,6.8,5.5,23.4,,46.4
0400000US28,28,Mississippi,15.3,16.3,16.9,14.3,5.9,12.9,5.5,6.3,6.6,24.2,,48.5
0400000US29,29,Missouri,15.5,14.8,16.2,15.7,6.8,13,6.3,6.8,4.8,23.1,,46.5
0400000US30,30,Montana,26.1,21.4,20,11.7,3.8,7.3,2.7,3.1,3.9,17.9,,67.5
0400000US31,31,Nebraska,24.1,18.7,18.1,14.6,5.7,9,3.5,3.4,3,18.4,,60.9
0400000US32,32,Nevada,11,13.7,16.7,19.3,8.4,16.2,5,4.4,5.3,23.8,,41.4
0400000US33,33,New Hampshire,15.6,12.7,13.6,12.7,6.5,12.5,8,8.6,9.6,27,,41.9
0400000US34,34,New Jersey,10,11.8,12.8,13.2,6,13.1,7.8,9.8,15.5,31.1,,34.6
0400000US35,35,New Mexico,17,18.8,17.9,14.6,5.3,11.4,4.2,5.5,5.3,21.8,,53.7
0400000US36,36,New York,9.9,10.4,11.8,12.3,5.3,14.2,8.2,10.9,16.8,32.6,,32.1
0400000US37,37,North Carolina,13.1,15.1,17.2,15.8,7,13,6.2,6.8,5.7,23.9,,45.4
0400000US38,38,North Dakota,30.4,23.3,17.6,10.9,2.8,5.2,2,2.8,5.1,17.6,,71.3
0400000US39,39,Ohio,14.6,14.5,16.3,16.2,8,12.6,6.7,6.2,4.9,23.2,,45.4
0400000US40,40,Oklahoma,18.2,16.6,17.6,15.4,6.3,12.2,4.3,4.9,4.4,21.3,,52.4
0400000US41,41,Oregon,16.6,15.4,16.9,15.2,6.1,11.9,5.8,6.1,6,23.1,,48.9
0400000US42,42,Pennsylvania,13.3,13.8,14.8,14.3,6.5,12.8,7.4,8.4,8.7,26.4,,41.9
0400000US44,44,Rhode Island,13.4,15.5,16.6,15.9,7,12.8,6.2,6.2,6.5,24,,45.5
0400000US45,45,South Carolina,12.7,14.5,16.7,16.5,6.8,13.9,6.2,6.8,5.8,24.1,,43.9
0400000US46,46,South Dakota,29.7,20.8,17.8,12.4,4.7,6.8,2.3,2.6,2.9,16.7,,68.3
0400000US47,47,Tennessee,12.3,14.5,16.1,16,7,14.3,6.4,7.6,5.9,24.5,,42.9
0400000US48,48,Texas,12.6,13.7,16,14.7,5.9,14.8,6.2,8.4,7.8,25.6,,42.3
0400000US49,49,Utah,17.8,16.7,17.2,16.2,6.1,11.1,4.7,5.3,5,21.6,,51.7
0400000US50,50,Vermont,18.5,15.7,15.4,14.3,7.6,12,5.5,6.2,4.8,22.1,,49.6
0400000US51,51,Virginia,10.2,12.1,15.2,15,6.7,13.8,7.5,9.1,10.3,28.1,,37.5
0400000US53,53,Washington,12.1,13.1,15,14.4,6.6,13.8,7.6,8.2,9.1,26.8,,40.2
0400000US54,54,West Virginia,15.3,14.6,16.6,14.2,5.6,11.3,5.6,7.8,9.2,25.7,,46.5
0400000US55,55,Wisconsin,18.4,16.7,16.2,14.7,6.8,10.8,6,5.6,4.8,21.9,,51.3
0400000US56,56,Wyoming,31.2,22.6,16.4,8.5,2.9,6.8,2.1,3.5,6,18.7,,70.2
0400000US72,72,Puerto Rico,9,11.4,14.9,13.7,5.1,17.3,7.2,8.4,13.1,29.4,,35.3
